#Location,End Time,NO,NO2,NOx
St Johns Road,01,6,31,40
Glasgow Road,01,1,23,25
Currie,01,4,36,42
St Leonards,01,7,38,50
Gorgie Road,01,49,55,130
Queen Street,01,2,36,40
Salamander St,01,2,23,27
Queensferry Road,01,24,44,80
St Johns Road,02,7,33,44
Glasgow Road,02,5,33,40
Currie,02,2,25,29
St Leonards,02,8,41,54
Gorgie Road,02,15,48,71
Queen Street,02,10,36,52
Salamander St,02,7,29,40
Queensferry Road,02,17,38,65
St Johns Road,03,21,46,78
Glasgow Road,03,6,27,36
Currie,03,1,19,21
St Leonards,03,10,42,57
Gorgie Road,03,6,40,50
Queen Street,03,51,40,119
Salamander St,03,1,23,25
Queensferry Road,03,21,36,69
St Johns Road,04,24,48,84
Glasgow Road,04,10,31,46
Currie,04,1,19,21
St Leonards,04,7,37,48
Gorgie Road,04,6,38,48
Queen Street,04,21,40,73
Salamander St,04,10,29,44
Queensferry Road,04,16,42,67
St Johns Road,05,52,48,128
Glasgow Road,05,26,34,75
Currie,05,1,4,6
St Leonards,05,4,36,42
Gorgie Road,05,6,33,42
Queen Street,05,41,46,109
Salamander St,05,25,33,71
Queensferry Road,05,67,52,155
St Johns Road,06,87,54,187
Glasgow Road,06,36,44,99
Currie,06,1,2,4
St Leonards,06,10,46,61
Gorgie Road,06,14,36,57
Queen Street,06,25,44,82
Salamander St,06,56,33,119
Queensferry Road,06,109,63,230
St Johns Road,07,182,69,348
Glasgow Road,07,104,63,222
Currie,07,1,8,10
St Leonards,07,41,65,128
Gorgie Road,07,70,65,172
Queen Street,07,162,55,304
Salamander St,07,158,38,281
Queensferry Road,07,237,88,451
St Johns Road,08,429,111,769
Glasgow Road,08,127,80,275
Currie,08,2,25,29
St Leonards,08,52,83,163
Gorgie Road,08,79,77,197
Queen Street,08,170,69,329
Salamander St,08,331,46,553
Queensferry Road,08,317,130,616
St Johns Road,09,407,124,748
Glasgow Road,09,150,78,308
Currie,09,2,15,19
St Leonards,09,72,85,195
Gorgie Road,09,64,80,178
Queen Street,09,86,65,197
Salamander St,09,186,65,350
Queensferry Road,09,309,111,585
