#o3_ppb	temp	humid	generation_
1.1	4.8	73.4	2014-02-15T01:00:00
1.07	4.8	73.4	2014-02-15T00:59:00
0.958	4.8	73.4	2014-02-15T00:58:00
0.9	4.8	73.4	2014-02-15T00:57:00
0.9	4.8	73.4	2014-02-15T00:56:00
0.85	4.8	73.4	2014-02-15T00:55:00
0.71	4.8	73.4	2014-02-15T00:54:00
0.573	4.8	73.4	2014-02-15T00:53:00
0.6	4.86	72.9	2014-02-15T00:52:00
0.518	4.9	72.6	2014-02-15T00:51:00
0.567	4.9	72.6	2014-02-15T00:50:00
0.523	4.9	72.6	2014-02-15T00:49:00
0.34	4.9	72.6	2014-02-15T00:48:00
0.48	4.9	72.6	2014-02-15T00:47:00
0.67	4.9	72.6	2014-02-15T00:46:00
0.548	4.9	72.6	2014-02-15T00:45:00
0.653	4.9	72.6	2014-02-15T00:44:00
0.803	4.9	72.6	2014-02-15T00:43:00
1.03	4.83	73.4	2014-02-15T00:42:00
0.992	4.8	73.8	2014-02-15T00:41:00
0.902	4.8	73.8	2014-02-15T00:40:00
0.988	4.8	73.8	2014-02-15T00:39:00
1.09	4.8	73.8	2014-02-15T00:38:00
1.11	4.8	73.8	2014-02-15T00:37:00
1.1	4.8	73.8	2014-02-15T00:36:00
1.31	4.8	73.8	2014-02-15T00:35:00
1.52	4.8	73.8	2014-02-15T00:34:00
1.34	4.8	73.8	2014-02-15T00:33:00
1.28	4.87	73.4	2014-02-15T00:32:00
1.35	4.9	73.2	2014-02-15T00:31:00
1.4	4.9	73.2	2014-02-15T00:30:00
1.34	4.9	73.2	2014-02-15T00:29:00
1.31	4.9	73.2	2014-02-15T00:28:00
1.29	4.9	73.2	2014-02-15T00:27:00
1.25	4.9	73.2	2014-02-15T00:26:00
1.29	4.9	73.2	2014-02-15T00:25:00
1.27	4.9	73.2	2014-02-15T00:24:00
1.1	4.9	73.2	2014-02-15T00:23:00
1.05	4.9	72.9	2014-02-15T00:22:00
0.983	4.9	72.7	2014-02-15T00:21:00
0.818	4.9	72.7	2014-02-15T00:20:00
0.675	4.9	72.7	2014-02-15T00:19:00
0.552	4.9	72.7	2014-02-15T00:18:00
0.482	4.9	72.7	2014-02-15T00:17:00
0.407	4.9	72.7	2014-02-15T00:16:00
0.45	4.9	72.7	2014-02-15T00:15:00
0.568	4.9	72.7	2014-02-15T00:14:00
0.383	4.9	72.7	2014-02-15T00:13:00
0.418	4.83	72.8	2014-02-15T00:12:00
0.692	4.8	72.8	2014-02-15T00:11:00
0.983	4.8	72.8	2014-02-15T00:10:00
0.617	4.8	72.8	2014-02-15T00:09:00
0.557	4.8	72.8	2014-02-15T00:08:00
0.592	4.8	72.8	2014-02-15T00:07:00
0.698	4.8	72.8	2014-02-15T00:06:00
0.7	4.8	72.8	2014-02-15T00:05:00
0.968	4.8	72.8	2014-02-15T00:04:00
1.11	4.8	72.8	2014-02-15T00:03:00
1.1	5	71.4	2014-02-15T00:02:00
1.2	5.1	70.7	2014-02-15T00:01:00
