Location	Time	Pollutant	Actual	Estimated	Difference	Absolute Difference	Difference %
St Johns Road	1	NO	6	19.26808167	-13.26808167	13.26808167	321.13%
St Johns Road	2	NO	7	10.18075188	-3.180751884	3.180751884	145.44%
St Johns Road	3	NO	21	12.40384881	8.596151187	8.596151187	59.07%
St Johns Road	4	NO	24	9.229896341	14.77010366	14.77010366	38.46%
St Johns Road	5	NO	52	24.13661948	27.86338052	27.86338052	46.42%
St Johns Road	6	NO	87	36.08001923	50.91998077	50.91998077	41.47%
St Johns Road	7	NO	182	104.6026701	77.39732991	77.39732991	57.47%
St Johns Road	8	NO	429	133.1302853	295.8697147	295.8697147	31.03%
St Johns Road	1	NO2	31	40.39894493	-9.398944926	9.398944926	130.32%
St Johns Road	2	NO2	33	37.04962123	-4.049621227	4.049621227	112.27%
St Johns Road	3	NO2	46	32.76226163	13.23773837	13.23773837	71.22%
St Johns Road	4	NO2	48	33.89086675	14.10913325	14.10913325	70.61%
St Johns Road	5	NO2	48	32.72736884	15.27263116	15.27263116	68.18%
St Johns Road	6	NO2	54	37.36659908	16.63340093	16.63340093	69.20%
St Johns Road	7	NO2	69	56.4979649	12.5020351	12.5020351	81.88%
St Johns Road	8	NO2	111	76.87798687	34.12201313	34.12201313	69.26%
St Johns Road	1	NOx	40	69.98737622	-29.98737622	29.98737622	174.97%
St Johns Road	2	NOx	44	53.05555964	-9.055559638	9.055559638	120.58%
St Johns Road	3	NOx	78	52.27866754	25.72133246	25.72133246	67.02%
St Johns Road	4	NOx	84	48.47206893	35.52793107	35.52793107	57.70%
St Johns Road	5	NOx	128	69.99606328	58.00393672	58.00393672	54.68%
St Johns Road	6	NOx	187	92.55307524	94.44692476	94.44692476	49.49%
St Johns Road	7	NOx	348	216.8272674	131.1727326	131.1727326	62.31%
St Johns Road	8	NOx	769	280.8706283	488.1293717	488.1293717	36.52%
Gorgie Road	1	NO	49	7.533602723	41.46639728	41.46639728	15.37%
Gorgie Road	2	NO	15	7.78062152	7.21937848	7.21937848	51.87%
Gorgie Road	3	NO	6	15.38291737	-9.382917368	9.382917368	256.38%
Gorgie Road	4	NO	6	12.39521717	-6.395217171	6.395217171	206.59%
Gorgie Road	5	NO	6	30.30318261	-24.30318261	24.30318261	505.05%
Gorgie Road	6	NO	14	45.58707701	-31.58707701	31.58707701	325.62%
Gorgie Road	7	NO	70	115.8943175	-45.89431748	45.89431748	165.56%
Gorgie Road	8	NO	79	187.7023573	-108.7023573	108.7023573	237.60%
Gorgie Road	1	NO2	55	34.60469674	20.39530326	20.39530326	62.92%
Gorgie Road	2	NO2	48	33.62964957	14.37035043	14.37035043	70.06%
Gorgie Road	3	NO2	40	34.15377325	5.846226746	5.846226746	85.38%
Gorgie Road	4	NO2	38	35.39664307	2.603356931	2.603356931	93.15%
Gorgie Road	5	NO2	33	34.77443715	-1.774437152	1.774437152	105.38%
Gorgie Road	6	NO2	36	40.11021107	-4.110211072	4.110211072	111.42%
Gorgie Road	7	NO2	65	55.35205726	9.647942736	9.647942736	85.16%
Gorgie Road	8	NO2	77	80.96377313	-3.963773127	3.963773127	105.15%
Gorgie Road	1	NOx	130	46.3475592	83.6524408	83.6524408	35.65%
Gorgie Road	2	NOx	71	46.0733844	24.9266156	24.9266156	64.89%
Gorgie Road	3	NOx	50	57.9454684	-7.945468401	7.945468401	115.89%
Gorgie Road	4	NOx	48	54.49565302	-6.495653023	6.495653023	113.53%
Gorgie Road	5	NOx	42	81.56800664	-39.56800664	39.56800664	194.21%
Gorgie Road	6	NOx	57	109.8988876	-52.89888756	52.89888756	192.81%
Gorgie Road	7	NOx	172	233.1181066	-61.11810662	61.11810662	135.53%
Gorgie Road	8	NOx	197	369.0001825	-172.0001825	172.0001825	187.31%
Queen Street	1	NO	2	17.05118295	-15.05118295	15.05118295	852.56%
Queen Street	2	NO	10	9.353480854	0.646519146	0.646519146	93.53%
Queen Street	3	NO	51	9.924104517	41.07589548	41.07589548	19.46%
Queen Street	4	NO	21	10.07969815	10.92030185	10.92030185	48.00%
Queen Street	5	NO	41	25.47027556	15.52972444	15.52972444	62.12%
Queen Street	6	NO	25	42.82163539	-17.82163539	17.82163539	171.29%
Queen Street	7	NO	162	107.4628835	54.53711649	54.53711649	66.34%
Queen Street	8	NO	170	169.552317	0.447683039	0.447683039	99.74%
Queen Street	1	NO2	36	38.57498684	-2.574986842	2.574986842	107.15%
Queen Street	2	NO2	36	36.17788145	-0.177881448	0.177881448	100.49%
Queen Street	3	NO2	40	33.76870631	6.231293687	6.231293687	84.42%
Queen Street	4	NO2	40	34.97616651	5.023833492	5.023833492	87.44%
Queen Street	5	NO2	46	33.3733425	12.6266575	12.6266575	72.55%
Queen Street	6	NO2	44	38.79769097	5.202309027	5.202309027	88.18%
Queen Street	7	NO2	55	57.27314499	-2.273144991	2.273144991	104.13%
Queen Street	8	NO2	69	80.69947765	-11.69947765	11.69947765	116.96%
Queen Street	1	NOx	40	64.74263549	-24.74263549	24.74263549	161.86%
Queen Street	2	NOx	52	50.90297628	1.097023721	1.097023721	97.89%
Queen Street	3	NOx	119	49.31738755	69.68261245	69.68261245	41.44%
Queen Street	4	NOx	73	50.63166517	22.36833483	22.36833483	69.36%
Queen Street	5	NOx	109	72.67696711	36.32303289	36.32303289	66.68%
Queen Street	6	NOx	82	104.3152215	-22.31522153	22.31522153	127.21%
Queen Street	7	NOx	304	221.9766283	82.02337173	82.02337173	73.02%
Queen Street	8	NOx	329	340.6726064	-11.67260639	11.67260639	103.55%
