Queue Size	Number of APs	Mean Latency (s)	Standard Deviation	Packets Generated	Packets Sent	Packets Received	Packets Dropped	% Received
10	10	0.641546601	0.628416482	1450000	2837154.833	77350	1166151.5	5.33
10	20	0.6377266	0.629448882	1450000	2806916.5	116009.5	1132689.333	8.00
10	30	0.591328457	0.581260675	1450000	2775618.5	153667.3333	1098895.167	10.60
10	40	0.557965006	0.552124348	1450000	2754254.5	179980.5	1076107.833	12.41
10	50	0.485136283	0.482648346	1450000	2726636.5	207879.1667	1049162.833	14.34
30	10	4.016328768	3.955641293	1450000	2851801	91969.33333	1151698.333	6.34
30	20	3.978558616	3.946152299	1450000	2829299.333	138289.1667	1111176	9.54
30	30	3.70040839	3.653918235	1450000	2802597.667	180843	1072978	12.47
30	40	3.468226904	3.445352797	1450000	2783234.5	209719.8333	1047929	14.46
30	50	3.075895053	3.067765	1450000	2757366.667	238289.5	1020537.167	16.43
100	10	25.04383636	24.87469435	1450000	2898691.5	138808.1667	1105236.667	9.57
100	20	23.43013378	23.36990619	1450000	2893541.833	202327.5	1049191	13.95
100	30	20.75840795	20.63997577	1450000	2872975.833	250772.3333	1005479.667	17.29
100	40	19.17159602	19.16736037	1450000	2856199.833	282431.8333	978600.3333	19.48
100	50	16.72300115	16.72759292	1450000	2826758	307587.5	955076.8333	21.21
2000	10	617.8010824	617.0399697	1450000	3369388.667	608908.8333	614393.3333	41.99
2000	20	518.9917672	519.4679392	1450000	3351993.5	660129.8333	570220.6667	45.53
2000	30	468.1774747	468.9056058	1450000	3302144.333	679437.8333	554234.8333	46.86
2000	40	436.3411623	436.5999819	1450000	3271823.667	697031.5	539818.6667	48.07
2000	50	419.8375185	420.5738133	1450000	3220432.833	700218.1667	537348.1667	48.29
