#o3_ppb	temp	humid	time
1.24	4.2	77	2014-02-04T01:00:00
1.23	4.2	77	2014-02-04T00:59:00
1.23	4.2	77	2014-02-04T00:58:00
1.16	4.2	77	2014-02-04T00:57:00
1.16	4.09	77.3	2014-02-04T00:56:00
0.98	4	77.5	2014-02-04T00:55:00
0.97	4	77.5	2014-02-04T00:54:00
0.86	4	77.5	2014-02-04T00:53:00
1.06	4	77.5	2014-02-04T00:52:00
0.95	4	77.5	2014-02-04T00:51:00
1.1	4	77.5	2014-02-04T00:50:00
1.05	4	77.5	2014-02-04T00:49:00
1.08	4	77.5	2014-02-04T00:48:00
1.01	4	77.5	2014-02-04T00:47:00
0.96	4.11	77.3	2014-02-04T00:46:00
1.02	4.2	77.1	2014-02-04T00:45:00
1.1	4.2	77.1	2014-02-04T00:44:00
1.08	4.2	77.1	2014-02-04T00:43:00
1.1	4.2	77.1	2014-02-04T00:42:00
0.96	4.2	77.1	2014-02-04T00:41:00
0.9	4.2	77.1	2014-02-04T00:40:00
0.78	4.2	77.1	2014-02-04T00:39:00
0.92	4.2	77.1	2014-02-04T00:38:00
0.83	4.2	77.1	2014-02-04T00:37:00
0.79	4.2	77	2014-02-04T00:36:00
0.89	4.2	76.9	2014-02-04T00:35:00
0.72	4.2	76.9	2014-02-04T00:34:00
0.73	4.2	76.9	2014-02-04T00:33:00
0.69	4.2	76.9	2014-02-04T00:32:00
0.71	4.2	76.9	2014-02-04T00:31:00
0.71	4.2	76.9	2014-02-04T00:30:00
0.8	4.2	76.9	2014-02-04T00:29:00
0.79	4.2	76.9	2014-02-04T00:28:00
0.72	4.2	76.9	2014-02-04T00:27:00
0.68	4.15	76.9	2014-02-04T00:26:00
0.65	4.1	76.9	2014-02-04T00:25:00
0.8	4.1	76.9	2014-02-04T00:24:00
0.97	4.1	76.9	2014-02-04T00:23:00
1.11	4.1	76.9	2014-02-04T00:22:00
0.95	4.1	76.9	2014-02-04T00:21:00
0.8	4.1	76.9	2014-02-04T00:20:00
0.99	4.1	76.9	2014-02-04T00:19:00
0.92	4.1	76.9	2014-02-04T00:18:00
1.16	4.1	76.9	2014-02-04T00:17:00
0.89	4.1	77.3	2014-02-04T00:16:00
1.14	4.1	77.7	2014-02-04T00:15:00
1.45	4.1	77.7	2014-02-04T00:14:00
1.15	4.1	77.7	2014-02-04T00:13:00
0.95	4.1	77.7	2014-02-04T00:12:00
0.89	4.1	77.7	2014-02-04T00:11:00
0.85	4.1	77.7	2014-02-04T00:10:00
0.78	4.1	77.7	2014-02-04T00:09:00
0.9	4.1	77.7	2014-02-04T00:08:00
0.8	4.1	77.7	2014-02-04T00:07:00
0.68	4.05	77.8	2014-02-04T00:06:00
0.66	4	77.8	2014-02-04T00:05:00
0.64	4	77.8	2014-02-04T00:04:00
0.79	4	77.8	2014-02-04T00:03:00
0.72	4	77.8	2014-02-04T00:02:00
0.68	4	77.8	2014-02-04T00:01:00
0.73	4	77.8	2014-02-04T00:00:00
0.78	4	77.8	2014-02-03T23:59:00
0.68	4	77.8	2014-02-03T23:58:00
0.71	4	77.8	2014-02-03T23:57:00
0.72	4.11	77.2	2014-02-03T23:56:00
0.75	4.2	76.7	2014-02-03T23:55:00
0.82	4.2	76.7	2014-02-03T23:54:00
0.85	4.2	76.7	2014-02-03T23:53:00
0.76	4.2	76.7	2014-02-03T23:52:00
0.79	4.2	76.7	2014-02-03T23:51:00
0.81	4.2	76.7	2014-02-03T23:50:00
0.8	4.2	76.7	2014-02-03T23:49:00
0.77	4.2	76.7	2014-02-03T23:48:00
0.53	4.2	76.7	2014-02-03T23:47:00
0.64	4.2	76.9	2014-02-03T23:46:00
0.54	4.2	77	2014-02-03T23:45:00
0.53	4.2	77	2014-02-03T23:44:00
0.59	4.2	77	2014-02-03T23:43:00
0.67	4.2	77	2014-02-03T23:42:00
0.51	4.2	77	2014-02-03T23:41:00
0.62	4.2	77	2014-02-03T23:40:00
0.73	4.2	77	2014-02-03T23:39:00
0.77	4.2	77	2014-02-03T23:38:00
0.7	4.2	77	2014-02-03T23:37:00
0.76	4.2	77	2014-02-03T23:36:00
0.76	4.2	77	2014-02-03T23:35:00
0.74	4.2	77	2014-02-03T23:34:00
0.72	4.2	77	2014-02-03T23:33:00
0.85	4.2	77	2014-02-03T23:32:00
0.8	4.2	77	2014-02-03T23:31:00
0.89	4.2	77	2014-02-03T23:30:00
1	4.2	77	2014-02-03T23:29:00
1.12	4.2	77	2014-02-03T23:28:00
1.06	4.2	77	2014-02-03T23:27:00
0.81	4.25	76.6	2014-02-03T23:26:00
0.85	4.3	76.3	2014-02-03T23:25:00
0.71	4.3	76.3	2014-02-03T23:24:00
0.82	4.3	76.3	2014-02-03T23:23:00
0.8	4.3	76.3	2014-02-03T23:22:00
0.86	4.3	76.3	2014-02-03T23:21:00
1.04	4.3	76.3	2014-02-03T23:20:00
1.11	4.3	76.3	2014-02-03T23:19:00
1.13	4.3	76.3	2014-02-03T23:18:00
0.94	4.3	76.3	2014-02-03T23:17:00
0.82	4.25	76.6	2014-02-03T23:16:00
0.74	4.2	76.9	2014-02-03T23:15:00
0.8	4.2	76.9	2014-02-03T23:14:00
0.97	4.2	76.9	2014-02-03T23:13:00
0.85	4.2	76.9	2014-02-03T23:12:00
0.69	4.2	76.9	2014-02-03T23:11:00
0.66	4.2	76.9	2014-02-03T23:10:00
0.57	4.2	76.9	2014-02-03T23:09:00
0.75	4.2	76.9	2014-02-03T23:08:00
0.88	4.2	76.9	2014-02-03T23:07:00
0.84	4.3	76.3	2014-02-03T23:06:00
0.76	4.4	75.8	2014-02-03T23:05:00
0.77	4.4	75.8	2014-02-03T23:04:00
0.84	4.4	75.8	2014-02-03T23:03:00
0.8	4.4	75.8	2014-02-03T23:02:00
0.87	4.4	75.8	2014-02-03T23:01:00
0.8	4.4	75.8	2014-02-03T23:00:00
0.86	4.4	75.8	2014-02-03T22:59:00
0.82	4.4	75.8	2014-02-03T22:58:00
0.75	4.4	75.8	2014-02-03T22:57:00
0.8	4.4	75.9	2014-02-03T22:56:00
0.77	4.4	76	2014-02-03T22:55:00
0.89	4.4	76	2014-02-03T22:54:00
0.86	4.4	76	2014-02-03T22:53:00
0.89	4.4	76	2014-02-03T22:52:00
0.79	4.4	76	2014-02-03T22:51:00
0.73	4.4	76	2014-02-03T22:50:00
0.82	4.4	76	2014-02-03T22:49:00
1.06	4.4	76	2014-02-03T22:48:00
1.15	4.4	76	2014-02-03T22:47:00
0.82	4.4	76.2	2014-02-03T22:46:00
0.83	4.4	76.3	2014-02-03T22:45:00
0.81	4.4	76.3	2014-02-03T22:44:00
0.94	4.4	76.3	2014-02-03T22:43:00
1.03	4.4	76.3	2014-02-03T22:42:00
0.98	4.4	76.3	2014-02-03T22:41:00
0.98	4.4	76.3	2014-02-03T22:40:00
0.88	4.4	76.3	2014-02-03T22:39:00
1.11	4.4	76.3	2014-02-03T22:38:00
0.91	4.4	76.3	2014-02-03T22:37:00
0.8	4.35	76.5	2014-02-03T22:36:00
0.79	4.3	76.7	2014-02-03T22:35:00
0.72	4.3	76.7	2014-02-03T22:34:00
0.68	4.3	76.7	2014-02-03T22:33:00
