#o3_ppb	temp	humid	time
0.508	3.9	78.8	2014-02-04T00:00:00
0.327	3.9	78.8	2014-02-03T23:59:00
0.3	3.9	78.8	2014-02-03T23:58:00
0.255	3.9	78.8	2014-02-03T23:57:00
0.337	3.9	78.8	2014-02-03T23:56:00
0.278	3.9	78.8	2014-02-03T23:55:00
0.153	3.9	78.8	2014-02-03T23:54:00
0.208	3.9	78.8	2014-02-03T23:53:00
0.203	3.9	78.7	2014-02-03T23:52:00
0.198	3.9	78.6	2014-02-03T23:51:00
0.17	3.9	78.6	2014-02-03T23:50:00
0.085	3.9	78.6	2014-02-03T23:49:00
0.0617	3.9	78.6	2014-02-03T23:48:00
0.128	3.9	78.6	2014-02-03T23:47:00
0.285	3.9	78.6	2014-02-03T23:46:00
0.258	3.9	78.6	2014-02-03T23:45:00
0.435	3.9	78.6	2014-02-03T23:44:00
0.44	3.9	78.6	2014-02-03T23:43:00
0.587	4.08	77.8	2014-02-03T23:42:00
0.72	4.2	77.2	2014-02-03T23:41:00
0.768	4.2	77.2	2014-02-03T23:40:00
0.717	4.2	77.2	2014-02-03T23:39:00
0.855	4.2	77.2	2014-02-03T23:38:00
0.883	4.2	77.2	2014-02-03T23:37:00
0.9	4.2	77.2	2014-02-03T23:36:00
0.935	4.2	77.2	2014-02-03T23:35:00
0.995	4.2	77.2	2014-02-03T23:34:00
1.05	4.2	77.2	2014-02-03T23:33:00
1.16	4.02	78.4	2014-02-03T23:32:00
1.1	3.9	79.2	2014-02-03T23:31:00
1.1	3.9	79.2	2014-02-03T23:30:00
0.995	3.9	79.2	2014-02-03T23:29:00
0.9	3.9	79.2	2014-02-03T23:28:00
0.827	3.9	79.2	2014-02-03T23:27:00
0.722	3.9	79.2	2014-02-03T23:26:00
0.73	3.9	79.2	2014-02-03T23:25:00
0.63	3.9	79.2	2014-02-03T23:24:00
0.653	3.9	79.2	2014-02-03T23:23:00
0.5	3.9	79.3	2014-02-03T23:22:00
0.542	3.9	79.4	2014-02-03T23:21:00
0.332	3.9	79.4	2014-02-03T23:20:00
0.478	3.9	79.4	2014-02-03T23:19:00
0.452	3.9	79.4	2014-02-03T23:18:00
0.113	3.9	79.4	2014-02-03T23:17:00
-0.015	3.9	79.4	2014-02-03T23:16:00
0.145	3.9	79.4	2014-02-03T23:15:00
0.213	3.9	79.4	2014-02-03T23:14:00
0.163	3.9	79.4	2014-02-03T23:13:00
0.2	3.84	79.4	2014-02-03T23:12:00
0.21	3.8	79.4	2014-02-03T23:11:00
0.245	3.8	79.4	2014-02-03T23:10:00
0.385	3.8	79.4	2014-02-03T23:09:00
0.33	3.8	79.4	2014-02-03T23:08:00
0.542	3.8	79.4	2014-02-03T23:07:00
0.647	3.8	79.4	2014-02-03T23:06:00
0.735	3.8	79.4	2014-02-03T23:05:00
0.78	3.8	79.4	2014-02-03T23:04:00
0.818	3.8	79.4	2014-02-03T23:03:00
0.9	3.98	78.6	2014-02-03T23:02:00
0.9	4.1	78	2014-02-03T23:01:00
1.03	4.1	78	2014-02-03T23:00:00
1.05	4.1	78	2014-02-03T22:59:00
0.905	4.1	78	2014-02-03T22:58:00
1.02	4.1	78	2014-02-03T22:57:00
1.02	4.1	78	2014-02-03T22:56:00
0.755	4.1	78	2014-02-03T22:55:00
1.52	4.1	78	2014-02-03T22:54:00
1.42	4.1	78	2014-02-03T22:53:00
1.25	3.92	78.8	2014-02-03T22:52:00
1.02	3.8	79.3	2014-02-03T22:51:00
0.853	3.8	79.3	2014-02-03T22:50:00
0.875	3.8	79.3	2014-02-03T22:49:00
0.863	3.8	79.3	2014-02-03T22:48:00
0.7	3.8	79.3	2014-02-03T22:47:00
0.657	3.8	79.3	2014-02-03T22:46:00
0.34	3.8	79.3	2014-02-03T22:45:00
0.192	3.8	79.3	2014-02-03T22:44:00
0.158	3.8	79.3	2014-02-03T22:43:00
0.172	3.99	78.4	2014-02-03T22:42:00
0.2	4.1	77.9	2014-02-03T22:41:00
0.225	4.1	77.9	2014-02-03T22:40:00
0.182	4.1	77.9	2014-02-03T22:39:00
0.158	4.1	77.9	2014-02-03T22:38:00
0.2	4.1	77.9	2014-02-03T22:37:00
0.145	4.1	77.9	2014-02-03T22:36:00
0.01	4.1	77.9	2014-02-03T22:35:00
0.197	4.1	77.9	2014-02-03T22:34:00
0.283	4.1	77.9	2014-02-03T22:33:00
0.332	4.16	77.5	2014-02-03T22:32:00
0.498	4.2	77.2	2014-02-03T22:31:00
0.71	4.2	77.2	2014-02-03T22:30:00
0.715	4.2	77.2	2014-02-03T22:29:00
0.82	4.2	77.2	2014-02-03T22:28:00
0.882	4.2	77.2	2014-02-03T22:27:00
0.847	4.2	77.2	2014-02-03T22:26:00
0.955	4.2	77.2	2014-02-03T22:25:00
0.982	4.2	77.2	2014-02-03T22:24:00
0.938	4.2	77.2	2014-02-03T22:23:00
1	4.2	77.6	2014-02-03T22:22:00
0.955	4.2	77.8	2014-02-03T22:21:00
1.06	4.2	77.8	2014-02-03T22:20:00
1.14	4.2	77.8	2014-02-03T22:19:00
1.2	4.2	77.8	2014-02-03T22:18:00
1.14	4.2	77.8	2014-02-03T22:17:00
0.99	4.2	77.8	2014-02-03T22:16:00
0.985	4.2	77.8	2014-02-03T22:15:00
0.855	4.2	77.8	2014-02-03T22:14:00
0.655	4.2	77.8	2014-02-03T22:13:00
0.735	4.01	78.3	2014-02-03T22:12:00
0.59	3.9	78.6	2014-02-03T22:11:00
0.5	3.9	78.6	2014-02-03T22:10:00
0.457	3.9	78.6	2014-02-03T22:09:00
0.505	3.9	78.6	2014-02-03T22:08:00
0.315	3.9	78.6	2014-02-03T22:07:00
0.282	3.9	78.6	2014-02-03T22:06:00
0.235	3.9	78.6	2014-02-03T22:05:00
0.133	3.9	78.6	2014-02-03T22:04:00
0.0567	3.9	78.6	2014-02-03T22:03:00
0.095	3.9	78.7	2014-02-03T22:02:00
0.277	3.9	78.8	2014-02-03T22:01:00
0.282	3.9	78.8	2014-02-03T22:00:00
0.2	3.9	78.8	2014-02-03T21:59:00
0.31	3.9	78.8	2014-02-03T21:58:00
0.4	3.9	78.8	2014-02-03T21:57:00
0.4	3.9	78.8	2014-02-03T21:56:00
0.453	3.9	78.8	2014-02-03T21:55:00
0.5	3.9	78.8	2014-02-03T21:54:00
0.537	3.9	78.8	2014-02-03T21:53:00
0.693	4.08	78.4	2014-02-03T21:52:00
0.747	4.2	78.1	2014-02-03T21:51:00
0.833	4.2	78.1	2014-02-03T21:50:00
0.773	4.2	78.1	2014-02-03T21:49:00
0.983	4.2	78.1	2014-02-03T21:48:00
1.01	4.2	78.1	2014-02-03T21:47:00
1.06	4.2	78.1	2014-02-03T21:46:00
1.16	4.2	78.1	2014-02-03T21:45:00
1.21	4.2	78.1	2014-02-03T21:44:00
1.23	4.2	78.1	2014-02-03T21:43:00
1.09	4.14	78.3	2014-02-03T21:42:00
1.04	4.1	78.4	2014-02-03T21:41:00
0.927	4.1	78.4	2014-02-03T21:40:00
0.805	4.1	78.4	2014-02-03T21:39:00
0.9	4.1	78.4	2014-02-03T21:38:00
0.883	4.1	78.4	2014-02-03T21:37:00
0.945	4.1	78.4	2014-02-03T21:36:00
0.847	4.1	78.4	2014-02-03T21:35:00
