#Location	Time	Pollutant	Actual	Estimated	Pass	Distance
St Johns Road	1	NO	6	0	0	1
St Johns Road	1	NO	6	38.81964483	0	1024
St Johns Road	1	NO	6	33.19479877	0	2048
St Johns Road	1	NO	6	25.97105541	0	4096
St Johns Road	1	NO	6	20.05184395	0	8192
St Johns Road	1	NO	6	16.46734133	0	16384
St Johns Road	1	NO	6	14.58878459	0	32768
St Johns Road	1	NO	6	13.64740138	0	65536
St Johns Road	1	NO	6	13.17932189	0	131072
St Johns Road	1	NO	6	12.9463608	0	262144
St Johns Road	1	NO	6	12.83020461	0	524288
St Johns Road	1	NO	6	0	1	1
St Johns Road	1	NO	6	45.0860842	1	1024
St Johns Road	1	NO	6	45.55845456	1	2048
St Johns Road	1	NO	6	40.55110481	1	4096
St Johns Road	1	NO	6	33.25172428	1	8192
St Johns Road	1	NO	6	25.38855028	1	16384
St Johns Road	1	NO	6	19.44426125	1	32768
St Johns Road	1	NO	6	16.05104689	1	65536
St Johns Road	1	NO	6	14.3480521	1	131072
St Johns Road	1	NO	6	13.5183756	1	262144
St Johns Road	1	NO	6	13.11258719	1	524288
St Johns Road	1	NO	6	0	2	1
St Johns Road	1	NO	6	45.09204867	2	1024
St Johns Road	1	NO	6	46.16694112	2	2048
St Johns Road	1	NO	6	44.63225674	2	4096
St Johns Road	1	NO	6	39.79374059	2	8192
St Johns Road	1	NO	6	31.02762038	2	16384
St Johns Road	1	NO	6	22.84367039	2	32768
St Johns Road	1	NO	6	17.39390991	2	65536
St Johns Road	1	NO	6	14.73609904	2	131072
St Johns Road	1	NO	6	13.60773467	2	262144
St Johns Road	1	NO	6	13.12713262	2	524288
St Johns Road	1	NO	6	0	3	1
St Johns Road	1	NO	6	45.09205814	3	1024
St Johns Road	1	NO	6	46.20045198	3	2048
St Johns Road	1	NO	6	45.89066795	3	4096
St Johns Road	1	NO	6	43.66313156	3	8192
St Johns Road	1	NO	6	34.89380618	3	16384
St Johns Road	1	NO	6	25.54624877	3	32768
St Johns Road	1	NO	6	18.62796057	3	65536
