#Location	Time	Pollutant	Actual	Estimated	Power
St Johns Road	1	NO	6	12.71428571	0
St Johns Road	1	NO	6	18.51847755	1
St Johns Road	1	NO	6	24.60955325	2
St Johns Road	1	NO	6	29.86945071	3
St Johns Road	1	NO	6	33.85614525	4
St Johns Road	1	NO	6	36.69902454	5
St Johns Road	1	NO	6	38.71252036	6
St Johns Road	1	NO	6	40.1778063	7
St Johns Road	1	NO	6	41.29126031	8
St Johns Road	1	NO	6	42.17730625	9
St Johns Road	1	NO	6	42.91180689	10
St Johns Road	1	NO	6	43.54054333	11
St Johns Road	1	NO	6	44.0913011	12
St Johns Road	1	NO	6	44.58124699	13
St Johns Road	1	NO	6	45.02131162	14
St Johns Road	1	NO	6	45.41876687	15
St Johns Road	1	NO	6	45.77873534	16
St Johns Road	1	NO	6	46.10507135	17
St Johns Road	1	NO	6	46.40087217	18
St Johns Road	1	NO	6	46.6687716	19
St Johns Road	2	NO	7	9.142857143	0
St Johns Road	2	NO	7	10.90609259	1
St Johns Road	2	NO	7	12.54462774	2
St Johns Road	2	NO	7	13.77856601	3
St Johns Road	2	NO	7	14.57025711	4
St Johns Road	2	NO	7	15.02510066	5
St Johns Road	2	NO	7	15.26530782	6
St Johns Road	2	NO	7	15.38036372	7
St Johns Road	2	NO	7	15.42554717	8
St Johns Road	2	NO	7	15.43268074	9
St Johns Road	2	NO	7	15.41961235	10
St Johns Road	2	NO	7	15.39629473	11
St Johns Road	2	NO	7	15.3682897	12
St Johns Road	2	NO	7	15.33871277	13
St Johns Road	2	NO	7	15.30930309	14
St Johns Road	2	NO	7	15.28101508	15
St Johns Road	2	NO	7	15.25434961	16
St Johns Road	2	NO	7	15.22954227	17
St Johns Road	2	NO	7	15.20667222	18
St Johns Road	2	NO	7	15.18572629	19
St Johns Road	3	NO	21	13.71428571	0
St Johns Road	3	NO	21	15.38400642	1
St Johns Road	3	NO	21	15.8149819	2
St Johns Road	3	NO	21	15.25757596	3
St Johns Road	3	NO	21	14.24044392	4
St Johns Road	3	NO	21	13.16015908	5
St Johns Road	3	NO	21	12.19538767	6
St Johns Road	3	NO	21	11.38825578	7
St Johns Road	3	NO	21	10.72448228	8
St Johns Road	3	NO	21	10.17532189	9
St Johns Road	3	NO	21	9.713692248	10
St Johns Road	3	NO	21	9.318450125	11
St Johns Road	3	NO	21	8.974312875	12
St Johns Road	3	NO	21	8.670589624	13
St Johns Road	3	NO	21	8.399858274	14
St Johns Road	3	NO	21	8.156909428	15
St Johns Road	3	NO	21	7.937988292	16
St Johns Road	3	NO	21	7.740280597	17
St Johns Road	3	NO	21	7.561576627	18
St Johns Road	3	NO	21	7.400057721	19
St Johns Road	4	NO	24	10.14285714	0
St Johns Road	4	NO	24	10.74923538	1
