Power	Model	Mean Latency (s)	Standard Deviation	Packets Generated	Packets Sent	Packets Received	Packets Dropped	% Received
18	Rayleigh	154.12	323.82	294,743.60	522,092.80	238,455.20	1,986.40	80.74
18	Log Normal Shadowing	122.62	278.35	279,041.50	452,601.00	225,997.50	2,268.75	79.72
19	Rayleigh	128.94	281.37	270,759.00	473,615.20	213,552.20	933.20	78.72
19	Log Normal Shadowing	169.79	363.87	527,232.75	868,566.75	431,838.25	34,279.50	83.15
20	Rayleigh	150.13	322.72	299,218.50	525,681.25	240,421.75	1,445.50	80.26
20	Log Normal Shadowing	150.72	316.18	470,629.50	782,219.50	388,500.00	20,491.00	81.03
21	Rayleigh	116.22	255.51	220,911.00	383,434.50	169,469.00	0.00	76.79
21	Log Normal Shadowing	86.43	203.14	179,300.00	290,371.00	134,968.00	0.00	75.27
22	Rayleigh	135.75	294.37	270,957.00	471,525.67	218,749.33	977.33	80.54
22	Log Normal Shadowing	0	0	0	0	0	0	0
